Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Age,Motor Developmental Delay,-2.593840652,-3.40119512,-1.786486184,7.74283E-09,***
Long Face,Language Disorder,-2.59308348,-3.456997173,-1.729169788,5.91793E-08,***
Long Face,Constipation,-2.538747062,-4.212505778,-0.864988345,0.0156069,*
High/Broad Forehead,Everted Lower Lip,-2.493914607,-4.385238219,-0.602590994,0.042749141,*
Age,Hearing Impairment,-2.484699879,-3.299709317,-1.66969044,5.53356E-08,***
Long/Prominent Philtrum,Language Disorder,-2.465419688,-3.91970185,-1.011137527,0.005169413,**
Large/Prominent Ears,Tracheomalacia/Laryngomalacia,-2.377013816,-4.000678625,-0.753349007,0.022488303,*
Pale Irides,Speech Developmental Delay,-2.29183167,-3.807183336,-0.776480004,0.023134398,*
Broad Chin,Speech Developmental Delay,-2.237668097,-3.391744827,-1.083591366,0.001605325,**
Everted Lower Lip,Low-Set Ears,-2.121725666,-3.575567329,-0.667884003,0.028078375,*
Neonatal Jaundice,Upward Slanting Palpebral Fissures,-2.006658674,-3.191270212,-0.822047137,0.00875105,**
Long Face,Hypertelorism,-2.001661134,-3.055395066,-0.947927203,0.002428551,**
Age,Feeding Difficulties,-1.942236392,-2.719193952,-1.165278833,2.70517E-05,***
Bulbous Nasal Tip,Thin Upper Lip,-1.89596418,-3.123913793,-0.668014568,0.026287136,*
Friendly/Amiable Affect,Hearing Impairment,-1.873792617,-2.715303851,-1.032281383,0.000266849,***
Tubular or Pear-Shaped Nose,High/Broad Nasal Bridge,-1.831809768,-2.812220102,-0.851399434,0.003801885,**
Age,Hypertelorism,-1.783706472,-2.708497096,-0.858915849,0.002691691,**
Narrow/Short Palpebral Fissures,Language Disorder,-1.7650921,-3.023532975,-0.506651225,0.046392778,*
Feeding Difficulties,Large/Prominent Ears,-1.733186443,-2.54983047,-0.916542416,0.000730251,***
Age,Anxiety,-1.664898997,-2.685571961,-0.644226033,0.018646721,*
Everted Lower Lip,Language Disorder,-1.583074381,-2.618790651,-0.547358111,0.029154065,*
Hypertelorism,Friendly/Amiable Affect,-1.571390966,-2.571206694,-0.571575238,0.024863215,*
Large/Prominent Ears,Hearing Impairment,-1.531820757,-2.565730479,-0.497911034,0.037236054,*
Large/Prominent Ears,Language Disorder,-1.478271823,-2.449398593,-0.507145053,0.032104009,*
Age,Speech Developmental Delay,-1.430697413,-2.255183388,-0.606211438,0.011132698,*
Upward Slanting Palpebral Fissures,Motor Developmental Delay,-1.364331123,-2.087973375,-0.640688871,0.00489144,**
Long Face,Hearing Impairment,-1.329452152,-2.126964532,-0.531939772,0.017845567,*
Long Face,Motor Developmental Delay,-1.260134889,-1.959070551,-0.561199227,0.008743567,**
Motor Developmental Delay,Friendly/Amiable Affect,-1.257401596,-1.956838071,-0.557965122,0.008986298,**
Tubular or Pear-Shaped Nose,Friendly/Amiable Affect,1.077136533,0.353626157,1.800646909,0.046392778,*
Bulbous Nasal Tip,Friendly/Amiable Affect,1.153023093,0.400422221,1.905623965,0.037236054,*
Tubular or Pear-Shaped Nose,Joint Hyperlaxity,1.16370433,0.385035546,1.942373113,0.0429054,*
Speech Developmental Delay,Seizures,1.177992792,0.425727156,1.930258429,0.031741441,*
Large/Prominent Ears,Friendly/Amiable Affect,1.202691993,0.405111924,2.000272063,0.041412441,*
Speech Developmental Delay,Joint Hyperlaxity,1.209965362,0.383136861,2.036793862,0.048198757,*
Feeding Difficulties,Speech Developmental Delay,1.215257711,0.472576394,1.957939027,0.02224158,*
Age,Joint Hyperlaxity,1.241457581,0.455594373,2.027320789,0.028078375,*
Long Face,Scoliosis/Kyphosis,1.259822876,0.45833164,2.061314112,0.029858154,*
Friendly/Amiable Affect,Hypotonia,1.273942174,0.399014037,2.148870311,0.049086782,*
Feeding Difficulties,Cryptorchidism,1.297211521,0.412390313,2.18203273,0.046392778,*
Tubular or Pear-Shaped Nose,Scoliosis/Kyphosis,1.327209611,0.438229247,2.216189975,0.040369592,*
Tubular or Pear-Shaped Nose,Everted Lower Lip,1.346409008,0.415213632,2.277604385,0.048811775,*
Upward Slanting Palpebral Fissures,Ptosis,1.355488074,0.463088835,2.247887313,0.038048373,*
Ptosis,Strabismus,1.395803037,0.494254737,2.297351337,0.03399545,*
Hyperopia,Strabismus,1.422816121,0.56805905,2.277573191,0.018646721,*
Long Face,Long/Prominent Philtrum,1.454672289,0.499421391,2.409923187,0.034317771,*
Upward Slanting Palpebral Fissures,Foot Deformities,1.486821409,0.61538955,2.358253268,0.013601656,*
Strabismus,Scoliosis/Kyphosis,1.48868465,0.673300014,2.304069286,0.006922687,**
Feeding Difficulties,Atrial Septal Defect,1.499910459,0.58317759,2.416643328,0.018646721,*
Long/Prominent Philtrum,Abnormal Hair Color/Texture,1.504859468,0.579679599,2.430039337,0.021691357,*
Upward Slanting Palpebral Fissures,Epicanthal Folds,1.508301293,0.73758696,2.279015627,0.002799086,**
Long Face,Joint Hyperlaxity,1.516851689,0.778330574,2.255372803,0.001472626,**
Neonatal Jaundice,Tracheomalacia/Laryngomalacia,1.521851994,0.497512636,2.546191351,0.046392778,*
Long Face,Bulbous Nasal Tip,1.528881245,0.760495636,2.297266853,0.002202074,**
Bulbous Nasal Tip,Abnormal Hair Color/Texture,1.540100766,0.660668862,2.419532669,0.009284426,**
High/Broad Nasal Bridge,Large/Prominent Ears,1.548138578,0.573665107,2.522612049,0.0267021,*
High/Broad Nasal Bridge,Low-Set Ears,1.565338297,0.552775031,2.577901564,0.034141974,*
Motor Developmental Delay,Hearing Impairment,1.592702938,0.779927147,2.40547873,0.002494086,**
Epicanthal Folds,Hypertelorism,1.593448967,0.676316599,2.510581334,0.011223178,*
Feeding Difficulties,Language Disorder,1.602348686,0.806317393,2.398379979,0.00174312,**
Slender/Long Fingers,Friendly/Amiable Affect,1.602574275,0.600405763,2.604742786,0.021798028,*
Upward Slanting Palpebral Fissures,Narrow/Short Palpebral Fissures,1.604964636,0.66655229,2.543376983,0.012501687,*
Age,Enlarged Ventricles,1.615245924,0.526896437,2.703595412,0.035690523,*
Hypodontia,Hearing Impairment,1.638229419,0.581912202,2.694546636,0.030619831,*
Friendly/Amiable Affect,Foot Deformities,1.654638886,0.748953524,2.560324248,0.005595592,**
Sparse Eyebrows,Friendly/Amiable Affect,1.656594616,0.591359949,2.721829283,0.026287136,*
Abnormal EEG,Friendly/Amiable Affect,1.656594616,0.591359949,2.721829283,0.026287136,*
Anxiety,Hearing Impairment,1.660911354,0.650256927,2.671565781,0.018646721,*
Long/Prominent Philtrum,Friendly/Amiable Affect,1.673606756,0.703288487,2.643925026,0.010484808,*
Long Face,Ptosis,1.687575339,0.745550088,2.629600589,0.00684384,**
Drooling,Anxiety,1.69904936,0.662826233,2.735272488,0.019610009,*
Large/Prominent Ears,Foot Deformities,1.737314873,0.839598029,2.635031717,0.002856456,**
Broad Chin,Friendly/Amiable Affect,1.752129045,0.549932358,2.954325732,0.040130341,*
Broad Chin,Foot Deformities,1.774067221,0.623418452,2.924715989,0.032736798,*
Sparse Eyebrows,Tubular or Pear-Shaped Nose,1.774770713,0.50101698,3.048524446,0.049044396,*
Feeding Difficulties,Hypotonia,1.776066834,0.914247751,2.637885917,0.001089887,**
Long Face,Upward Slanting Palpebral Fissures,1.785453872,1.046932758,2.523974987,6.93764E-05,***
Upward Slanting Palpebral Fissures,Joint Hyperlaxity,1.786786543,1.037800666,2.53577242,9.07117E-05,***
Narrow/Short Palpebral Fissures,Friendly/Amiable Affect,1.787386928,0.796465264,2.778308592,0.005749396,**
Abnormal EEG,Foot Deformities,1.791557663,0.736128093,2.846987233,0.013598652,*
Long Face,Sparse Eyebrows,1.816463514,0.725769769,2.90715726,0.013130374,*
Feeding Difficulties,Hearing Impairment,1.826647547,0.974013007,2.679282087,0.000530896,***
Narrow/High Palate,Large/Prominent Ears,1.828786303,0.799425835,2.858146771,0.007802654,**
Narrow/Short Palpebral Fissures,Foot Deformities,1.834458849,0.842821235,2.826096463,0.004995638,**
Intrauterine Growth Restriction,Everted Lower Lip,1.835463358,0.640690352,3.030236363,0.031690505,*
Narrow/Short Palpebral Fissures,Large/Prominent Ears,1.84117714,0.890109274,2.792245006,0.002666615,**
Scoliosis/Kyphosis,Multiple Nevi,1.84611927,0.616098613,3.076139927,0.036356674,*
Hypertelorism,Drooling,1.848086859,0.897848646,2.798325072,0.002551312,**
Long/Prominent Philtrum,Joint Hyperlaxity,1.851834053,0.914122239,2.789545867,0.001920495,**
Everted Lower Lip,Joint Hyperlaxity,1.858745905,1.021032846,2.696458964,0.000310654,***
Epicanthal Folds,Narrow/High Palate,1.874074912,0.848605436,2.899544388,0.005147952,**
Upward Slanting Palpebral Fissures,Bulbous Nasal Tip,1.885686199,1.026080708,2.74529169,0.000328259,***
Friendly/Amiable Affect,Joint Hyperlaxity,1.887261302,1.134562247,2.639960358,2.79966E-05,***
Ptosis,Foot Deformities,1.891937398,0.92968487,2.854189926,0.002202074,**
Neonatal Jaundice,Speech Developmental Delay,1.90034775,0.647147824,3.153547675,0.025374385,*
Language Disorder,Anxiety,1.904439117,0.885574253,2.92330398,0.003722022,**
Long Face,Foot Deformities,1.90468765,0.972794369,2.836580931,0.001055236,**
Long Face,Narrow/Short Palpebral Fissures,1.916266535,0.905565329,2.926967741,0.002744651,**
Long Face,Slender/Long Fingers,1.928536695,0.884439997,2.972633393,0.003775269,**
Narrow/Short Palpebral Fissures,Broad Chin,1.930097987,0.748126065,3.112069909,0.037744616,*
Epicanthal Folds,Large/Prominent Ears,1.931996158,1.107179087,2.756813229,0.000108785,***
Hypertelorism,Language Disorder,1.935853139,1.013477488,2.85822879,0.000730251,***
Hypertelorism,High/Broad Nasal Bridge,1.941564278,0.906081577,2.97704698,0.003911589,**
Long Face,Broad Chin,1.974374192,0.727831557,3.220916827,0.018342301,*
High/Broad Forehead,Upward Slanting Palpebral Fissures,1.993313009,0.994042998,2.992583021,0.001411846,**
Long Face,Tubular or Pear-Shaped Nose,2.041159536,1.274510423,2.80780865,5.79752E-06,***
Language Disorder,Myopia,2.04285286,0.603104146,3.482601573,0.044633171,*
Ptosis,Epicanthal Folds,2.057243952,1.143693,2.970794904,0.000193772,***
Upward Slanting Palpebral Fissures,Friendly/Amiable Affect,2.059110873,1.309436098,2.808785647,2.68727E-06,***
Age,Abnormal EEG,2.060866702,0.70502871,3.416704694,0.02224158,*
High/Broad Nasal Bridge,Sacral Dimple,2.095346797,0.803692977,3.387000618,0.041079726,*
Sparse Eyebrows,Bulbous Nasal Tip,2.113755624,0.644051449,3.583459799,0.032103693,*
Feeding Difficulties,Tracheomalacia/Laryngomalacia,2.128918746,0.993986747,3.263850745,0.002428551,**
Narrow/Short Palpebral Fissures,Epicanthal Folds,2.129661131,1.178850999,3.080471263,0.000193772,***
High/Broad Forehead,High/Broad Nasal Bridge,2.134914114,1.063904563,3.205923664,0.001477207,**
High/Broad Forehead,Sacral Dimple,2.145655835,0.851226662,3.440085007,0.033803376,*
Drooling,Constipation,2.152715711,0.913375072,3.39205635,0.007959931,**
Low Birth Weight,Friendly/Amiable Affect,2.158297092,0.602744436,3.713849747,0.042749141,*
Slender/Long Fingers,Pectus Excavatum,2.168543075,0.96724133,3.36984482,0.013240258,*
Scoliosis/Kyphosis,Foot Deformities,2.175358887,1.272467843,3.078249932,4.49014E-05,***
Upward Slanting Palpebral Fissures,Slender Lower Limbs,2.199657392,0.722114012,3.677200771,0.026791281,*
Epicanthal Folds,Broad Chin,2.239743378,1.100007924,3.379478831,0.001406114,**
Sparse Eyebrows,Joint Hyperlaxity,2.248076182,1.193052401,3.303099964,0.00035379,***
Feeding Difficulties,Motor Developmental Delay,2.277872915,1.538066733,3.017679097,6.95132E-08,***
Short Stature,Low Birth Weight,2.317725047,0.892412342,3.743037752,0.042749141,*
Age,Pectus Excavatum,2.321365257,0.668425544,3.974304969,0.033010228,*
Narrow/High Palate,Slender Lower Limbs,2.330408325,0.892499871,3.76831678,0.0429054,*
Ptosis,Pale Irides,2.348832279,0.897477782,3.800186775,0.036693128,*
Long Face,Everted Lower Lip,2.353718643,1.43674,3.270697286,7.04233E-06,***
High/Broad Forehead,Pale Irides,2.36101026,0.886173095,3.835847425,0.045173153,*
High/Broad Forehead,Widely Spaced Nipples,2.36101026,0.886173095,3.835847425,0.045173153,*
Language Disorder,Hearing Impairment,2.37886309,1.567774031,3.189952149,2.28467E-07,***
Motor Developmental Delay,Speech Developmental Delay,2.404244833,1.597054171,3.211435496,1.27998E-07,***
Large/Prominent Ears,Widely Spaced Nipples,2.406009665,0.934932701,3.877086628,0.025939445,*
Neonatal Jaundice,Language Disorder,2.407648319,1.460565122,3.354731515,7.98439E-06,***
Everted Lower Lip,Friendly/Amiable Affect,2.411791715,1.493930333,3.329653097,3.51966E-06,***
Ptosis,Broad Chin,2.42476656,1.273888838,3.575644281,0.000406724,***
Neonatal Jaundice,Hearing Impairment,2.439559425,1.497401406,3.381717444,5.42492E-06,***
Upward Slanting Palpebral Fissures,Everted Lower Lip,2.44323916,1.571078649,3.315399672,6.25678E-07,***
Language Disorder,Constipation,2.445434468,1.139475206,3.751393729,0.001964022,**
Low Birth Weight,Seizures,2.451583757,0.750193171,4.152974342,0.026250749,*
Motor Developmental Delay,Language Disorder,2.492593147,1.642160501,3.343025794,1.55375E-07,***
Low Birth Weight,Abnormal EEG,2.504625076,1.110956613,3.898293538,0.013335914,*
Upward Slanting Palpebral Fissures,Long/Prominent Philtrum,2.509673229,1.511605918,3.507740541,7.98439E-06,***
Vesicoureteral Reflux,Hydronephrosis,2.52032185,1.100059196,3.940584504,0.01823369,*
Slender Lower Limbs,Friendly/Amiable Affect,2.530816831,0.819959508,4.241674155,0.020068794,*
Ptosis,Nasal Speech,2.543648456,1.125218253,3.962078658,0.011021103,*
Bulbous Nasal Tip,Everted Lower Lip,2.579909273,1.34463439,3.815184156,0.000247776,***
Intrauterine Growth Restriction,Upward Slanting Palpebral Fissures,2.580636575,1.244993612,3.916279539,0.000999868,***
High/Broad Forehead,Nasal Speech,2.584017772,1.149919163,4.018116381,0.011623112,*
Ptosis,Large/Prominent Ears,2.600975116,1.663326972,3.538623261,5.90184E-07,***
Upward Slanting Palpebral Fissures,Broad Chin,2.624733029,1.372090735,3.877375324,0.000247705,***
Failure to Thrive in Infancy,Long Face,2.632667633,0.642204036,4.623131229,0.041540678,*
Hypotonia,Joint Hyperlaxity,2.645454804,1.409621571,3.881288036,0.000145662,***
Bulbous Nasal Tip,Broad Chin,2.653228549,0.748103771,4.558353327,0.026619074,*
Neonatal Jaundice,Drooling,2.667520821,1.706228448,3.628813193,5.15094E-07,***
High/Broad Forehead,Ptosis,2.669434897,1.638229894,3.700639899,3.44914E-06,***
Drooling,Hearing Impairment,2.669521967,1.787137922,3.551906011,4.32069E-08,***
Neonatal Jaundice,Constipation,2.682013734,1.420619712,3.943407756,0.000730251,***
Narrow/High Palate,Slender/Long Fingers,2.690240691,1.588430091,3.792051291,1.36126E-05,***
Neonatal Jaundice,Motor Developmental Delay,2.697427643,1.513974664,3.880880621,4.10399E-05,***
Atrial Septal Defect,Ventricular Septal Defect,2.699810956,1.580747632,3.81887428,1.56755E-05,***
Patent Foramen Ovale,Tracheomalacia/Laryngomalacia,2.700331655,1.10829298,4.29237033,0.020345235,*
Pale Irides,Slender/Long Fingers,2.702047178,1.236189208,4.167905148,0.007802654,**
Age,Upward Slanting Palpebral Fissures,2.70973604,1.800407826,3.619064253,5.3026E-08,***
Hearing Impairment,Constipation,2.737773277,1.42597115,4.049575404,0.000236783,***
Slender/Long Fingers,Slender Lower Limbs,2.738041831,1.33883522,4.137248442,0.003004916,**
Intrauterine Growth Restriction,Joint Hyperlaxity,2.739290647,1.40149945,4.077081844,0.000300832,***
Foot Deformities,Nasal Speech,2.747785656,1.317841574,4.177729737,0.003164288,**
High/Broad Forehead,Narrow/High Palate,2.752509032,1.645421492,3.859596572,7.70079E-06,***
Intrauterine Growth Restriction,Failure to Thrive in Infancy,2.763845184,1.114989164,4.412701205,0.035327169,*
Large/Prominent Ears,Hypoplasia Hand Muscles,2.782946433,1.113097516,4.45279535,0.015858194,*
Intrauterine Growth Restriction,Long/Prominent Philtrum,2.803165337,1.575339721,4.030990953,0.000157462,***
Large/Prominent Ears,Pale Irides,2.80955751,1.2852454,4.333869621,0.00425903,**
Foot Deformities,Hypoplasia Hand Muscles,2.840416471,1.226874983,4.453957958,0.010163057,*
Epicanthal Folds,Café-au-lait Spots,2.861901837,1.050892439,4.672911234,0.022488303,*
High/Broad Forehead,Epicanthal Folds,2.867582732,1.833566733,3.901598731,2.76477E-07,***
Upward Slanting Palpebral Fissures,Pale Irides,2.868858266,1.132971661,4.604744871,0.004847417,**
Anxiety,Nystagmus,2.87758846,1.219693492,4.535483428,0.017076011,*
Low-Set Ears,Widely Spaced Nipples,2.884037925,1.400392326,4.367683524,0.002250231,**
Long Face,Pectus Excavatum,2.89224382,1.396976043,4.387511596,0.000525231,***
High/Broad Forehead,Broad Chin,2.893914441,1.71296537,4.074863511,2.79966E-05,***
Open Mouth,Ventricular Septal Defect,2.922855149,1.185243327,4.660466971,0.028057891,*
Vesicoureteral Reflux,Hypopigmentation,2.923891677,1.262380831,4.585402523,0.020068794,*
Narrow Hands,Foot Deformities,2.925333201,1.179420569,4.671245832,0.017076011,*
Myopia,Constipation,2.957487829,1.403282065,4.511693593,0.006163227,**
Seizures,Abnormal EEG,2.965605136,1.610311491,4.320898781,5.13846E-05,***
Open Mouth,Large/Prominent Ears,2.968959663,1.12700273,4.810916597,0.018994271,*
ADHD,Bicuspid Aortic Valve,2.97058101,1.265148736,4.676013285,0.020200887,*
Slender Lower Limbs,Nasal Speech,2.994378582,1.345613721,4.643143442,0.013720309,*
Thin Upper Lip,Widely Spaced Teeth,3.008562014,1.441055764,4.576068263,0.005121305,**
Low Birth Weight,Pale Irides,3.011579322,1.358339625,4.66481902,0.013231987,*
Narrow/High Palate,Widely Spaced Nipples,3.015732926,1.533638301,4.497827552,0.001406114,**
Feeding Difficulties,Neonatal Jaundice,3.034361019,1.700745874,4.367976163,1.86022E-05,***
Feeding Difficulties,Drooling,3.036790525,1.869389923,4.204191128,7.52051E-07,***
Long Face,Friendly/Amiable Affect,3.046813636,2.266852606,3.826774666,4.19478E-13,***
High/Broad Forehead,Large/Prominent Ears,3.05408241,2.020654465,4.087510355,2.70611E-08,***
Tubular or Pear-Shaped Nose,Bulbous Nasal Tip,3.054924466,2.237692432,3.872156499,2.81039E-12,***
Large/Prominent Ears,Slender Lower Limbs,3.090210769,1.598501584,4.581919954,0.000416515,***
Narrow Hands,Pectus Excavatum,3.114296133,1.365755789,4.862836476,0.013432139,*
Pale Irides,Slender Lower Limbs,3.120561375,1.455053878,4.786068872,0.008417062,**
Low Birth Weight,Otitis Media,3.148712415,1.475605727,4.821819103,0.007677667,**
High/Broad Forehead,Café-au-lait Spots,3.174984875,1.505662,4.84430775,0.002934535,**
Sparse Eyebrows,Upward Slanting Palpebral Fissures,3.214625059,1.995255743,4.433994374,3.28354E-07,***
Hypodontia,Multiple Nevi,3.230203013,1.916750637,4.54365539,1.56299E-05,***
Long Face,Café-au-lait Spots,3.246957852,0.767277698,5.726638006,0.026250749,*
Hydrocephalus,Scoliosis/Kyphosis,3.258055912,1.15334143,5.362770393,0.021574131,*
Slender Lower Limbs,Foot Deformities,3.278859373,1.831379971,4.726338775,6.19079E-05,***
Slender/Long Fingers,Nasal Speech,3.280042637,1.827771751,4.732313524,8.88225E-05,***
Broad Chin,Nasal Speech,3.298966946,1.819761576,4.778172317,0.000171317,***
Narrow/Short Palpebral Fissures,Ptosis,3.318405028,2.290660823,4.346149234,3.99096E-10,***
Age,Long Face,3.32578042,2.441795003,4.209765838,4.47237E-13,***
Broad Chin,Large/Prominent Ears,3.327830796,2.097058686,4.558602906,1.23748E-07,***
Long Face,Hypoplasia Hand Muscles,3.379582887,0.911025634,5.848140141,0.015857996,*
Narrow Hands,Nasal Speech,3.476813697,1.614786213,5.338841181,0.040852715,*
High/Broad Forehead,Slender Lower Limbs,3.509301263,2.074432203,4.944170322,7.18414E-06,***
Sparse Eyebrows,Everted Lower Lip,3.622998234,2.504913321,4.741083148,6.84232E-11,***
Widely Spaced Teeth,Small Teeth,3.650838154,1.912225391,5.389450918,0.011836944,*
Narrow/High Palate,Hypoplasia Hand Muscles,3.662419948,2.016437739,5.308402157,6.19248E-05,***
Pulmonary Valve Stenosis,Vesicoureteral Reflux,3.665882496,1.666875313,5.664889679,0.035327169,*
Hypoplasia Hand Muscles,Nasal Speech,3.691008593,1.93996019,5.442056996,0.011132698,*
Age,Friendly/Amiable Affect,3.701142153,2.758932332,4.643351974,5.43079E-15,***
Failure to Thrive in Infancy,Everted Lower Lip,3.70586509,1.925290398,5.486439781,0.000106805,***
Narrow/High Palate,Narrow Hands,3.727766657,1.953481641,5.502051674,0.000196586,***
Nystagmus,Constipation,3.810296197,2.092823143,5.527769252,9.07117E-05,***
Everted Lower Lip,Long/Prominent Philtrum,3.812815737,2.767934253,4.857697222,1.1029E-13,***
Failure to Thrive in Infancy,Sparse Eyebrows,3.816692787,2.201023984,5.43236159,7.98439E-06,***
Age,Long/Prominent Philtrum,3.824787816,1.948759106,5.700816527,2.13897E-05,***
Long Face,Nasal Speech,3.83052577,1.393079279,6.267972262,0.001786706,**
Drooling,Motor Developmental Delay,3.836933499,2.514489013,5.159377984,1.41347E-09,***
Slender/Long Fingers,Hypoplasia Hand Muscles,3.847963677,2.147323772,5.548603581,1.86022E-05,***
Hydrocephalus,Strabismus,3.864532402,1.330704269,6.398360535,0.009176549,**
Friendly/Amiable Affect,Nasal Speech,3.876100203,1.438542683,6.313657724,0.001411846,**
Intrauterine Growth Restriction,Sparse Eyebrows,3.899748526,2.608286025,5.191211028,2.19126E-09,***
Narrow/High Palate,Nasal Speech,4.011783802,2.504018011,5.519549593,1.21537E-07,***
Pulmonary Valve Stenosis,Bicuspid Aortic Valve,4.108424412,1.96109969,6.255749134,0.046824073,*
Slender Lower Limbs,Hypoplasia Hand Muscles,4.112588938,2.389819005,5.835358871,0.001521126,**
Dolichocephaly,Pectus Excavatum,4.166977717,1.857385185,6.47657025,0.02224158,*
Broad Chin,Pale Irides,4.310357332,2.749892556,5.870822107,1.27793E-08,***
Drooling,Language Disorder,4.323190206,3.271115555,5.375264858,4.30901E-18,***
Age,Otitis Media,4.357664421,0.278966509,8.436362333,0.033680758,*
Sparse Eyebrows,Long/Prominent Philtrum,4.360527612,3.193457623,5.527597601,6.50186E-16,***
Low Birth Weight,Bilateral Kidneys,4.426874645,1.97759717,6.876152119,0.040951585,*
Age,Narrow/Short Palpebral Fissures,4.575897593,2.198730148,6.953065038,6.61854E-06,***
Narrow Hands,Slender/Long Fingers,4.708533169,2.631673587,6.78539275,5.90184E-07,***
Age,Low Birth Weight,4.726223744,0.660353617,8.792093871,0.010863632,*
Failure to Thrive in Infancy,Long/Prominent Philtrum,5.036770878,3.010680745,7.062861012,4.2394E-09,***
Age,Everted Lower Lip,5.285514824,2.917079501,7.653950146,4.2394E-09,***
Large/Prominent Ears,Nasal Speech,5.360132278,2.910413743,7.809850813,2.77294E-08,***
Feeding Difficulties,Constipation,5.428559199,1.371592357,9.485526041,0.000410631,***
Narrow Hands,Slender Lower Limbs,5.873632433,3.869078487,7.87818638,8.5356E-07,***
Narrow Hands,Hypoplasia Hand Muscles,6.044954498,4.019091915,8.070817081,2.23432E-06,***
Long Face,Tongue Protrusion,-4.305184831,-8.412967555,-0.197402107,0.082440197,ns
Pale Irides,Language Disorder,-4.09837174,-8.174327003,-0.022416478,0.060269092,ns
Intrauterine Growth Restriction,Drooling,-4.056519134,-8.115775864,0.002737596,0.064421564,ns
Upward Slanting Palpebral Fissures,Nystagmus,-3.996906802,-8.090690234,0.09687663,0.138248145,ns
Failure to Thrive in Infancy,Language Disorder,-3.895133994,-7.979213818,0.188945831,0.157961451,ns
Sparse Eyebrows,Anxiety,-3.810178955,-7.867012125,0.246654216,0.165773845,ns
Language Disorder,Café-au-lait Spots,-3.664378514,-7.759180844,0.430423817,0.235295332,ns
Drooling,Nasal Speech,-3.45341202,-7.530074883,0.623250843,0.296967888,ns
Everted Lower Lip,Widely Spaced Teeth,-3.422054009,-7.501635407,0.657527389,0.3122209,ns
Hypertelorism,Dry Skin/Hyperkeratosis/Eczema,-3.415808906,-7.484089041,0.65247123,0.305361253,ns
Long/Prominent Philtrum,Constipation,-3.410753079,-7.47802265,0.656516492,0.30565791,ns
Broad Chin,Anxiety,-3.407558166,-7.4713234,0.656207067,0.305341643,ns
